"ids","names","popularity","followers","genres","first_release","last_release","num_releases","num_tracks","monthly_listeners","fuente","log_followers","log_monthly_listeners","z_monthly_listeners","z_followers","z_popularity","indice_demanda_digital","nivel_demanda_digital"
"3jZNP1cGIr9jG32lxHUezh","aatom",26,2406,"ambient guitar",2020,2024,20,1,55376,"base_featured",3.38147609027503,4.74332942452735,0.286523535079568,-0.34556630511593,-0.0434499185193884,-0.0341642295185835,"demanda_media"
"0g9vAlRPK9Gt3FKCekk4TW","ab-soul",58,1063779,"conscious hip hop, hip hop, rap",2011,2023,18,1,1392025,"base_featured",6.02685182094293,6.14364734702101,1.15566266857547,1.67615367438216,1.43936462861966,1.42372699052576,"demanda_media"
"4y0wFJ5jmCUNRLZfsw1I7g","ab6ix",39,545836,"k-pop, k-pop boy group",2019,2024,20,1,208076,"base_featured",5.7370629713324,5.31822407768821,0.643344963037772,1.45468346873185,0.55894349125585,0.885657307675157,"demanda_media"
"0LcJLqbBmaGUft1e9Mm8HV","abba",77,12032449,"europop, swedish pop",1973,2024,18,2,31496774,"base_featured",7.08035406567296,7.49826608803067,1.99643756680846,2.48128941065016,2.31978576598347,2.26583758114736,"demanda_alta"
"1N53jg6KZxBoFI9oWNchct","abbey cone",41,8768,"modern country pop",2021,2024,10,1,227677,"base_featured",3.9429500700771,5.35732106776841,0.667611398205646,0.0835383962595347,0.65161940045204,0.467589731639074,"demanda_media"
"40tqIiKClGVYgzgxL4YoQw","abe hathot",38,8214,"432hz",2019,2024,20,2,199191,"base_featured",3.91460756777108,5.29927189219198,0.631581858520254,0.0618777291124217,0.512605536657754,0.40202170809681,"demanda_media"
"5V61WloeXM3XLslOqJ8RES","abe parker",55,185733,"singer-songwriter pop",2018,2024,20,1,2030525,"base_featured",5.26889141187542,6.30760855481312,1.25742891735246,1.09688484503766,1.30035076482537,1.21822150907183,"demanda_media"
"0jqbEIAvdjUOi5Za48pzQG","abel balder",61,3664," jazz ",2022,2023,5,1,3808454,"base_featured",3.56407397897715,6.58074882841643,1.42695963384838,-0.206016450052418,1.57837849241394,0.933107225403301,"demanda_media"
"3js7EAaEd42YT5pAYfm5PD","abelin lagarde",44,181,"background piano",2021,2023,6,1,539911,"base_featured",2.26007138798507,5.73232298014001,0.900364855076031,-1.2025962783781,0.790633264246326,0.162800613648085,"demanda_media"
"1gUi2utSbJLNPddYENJAp4","abhi the nomad",48,137865,"desi hip hop",2015,2024,20,1,834771,"base_featured",5.13945717529112,5.92156787349185,1.01782399773518,0.997965141836377,0.975985082638707,0.997258074070086,"demanda_media"
"3x1jBMHHrDUQbtRrvV78h2","abhijay sharma",50,23358,"desi pop",2021,2024,20,1,2183762,"base_featured",4.36845424666905,6.33920550336544,1.27704028134684,0.40872860844865,1.0686609918349,0.918143293876797,"demanda_media"
